,Property description,Property type,Property Area,Number of Beds ,Number of Baths ,Property price,Property location
53,"Duplex for sale in Southern Investors, Fifth Settlement Immediate receipt with all facilities Finishing: Super Lux Area: 290 square",Duplex,290.0,4.0,2.0,7000000.0,"South Investors, New Cairo, Cairo"
54,Duplex for sale 260m + garden 120m -New cairo(In the southern investors area )Fully open view,Duplex,260.0,4.0,2.0,6200000.0,"5th Settlement, New Cairo, Cairo"
55,duplex for sale 225 m on 3 facades in taj city in El Tagamoa with installments over 8 years,Duplex,225.0,4.0,2.0,10849767.0,"Taj City Compound, New Cairo, Cairo"
56,duplex for sale with prime location in taj city in the First Settlement with installments over 8 years,Duplex,224.0,4.0,2.0,4531746.0,"Taj City Compound, New Cairo, Cairo"
57,duplex for sale with a garden open to two facades in taj city in the first settlement,Duplex,208.0,4.0,2.0,4399792.0,"Taj City Compound, New Cairo, Cairo"
58,duplex for sale 240 lagoon view in taj city in the First Settlement in installments over 8 years,Duplex,240.0,4.0,2.0,10517769.0,"Taj City Compound, New Cairo, Cairo"
59,duplex for sale 4 bedrooms landscape in taj city Compound First Settlement,Duplex,208.0,4.0,2.0,9932267.0,"Taj City Compound, New Cairo, Cairo"
60,villa for sale in Badya Palm Hills Compound in 6th of October,Penthouse,295.0,4.0,2.0,20525000.0,"Badya Palm Hills Compound, 6th of October, Giza"
61,"""Own a penthouse with a down payment of 871,146 EGP in a compound in Shorouk, near Hassan Allam's Spring. """,Penthouse,159.0,4.0,2.0,8711465.0,"Ivy Residence, Shorouk City, Cairo"
62,Penthouse for sale in Promenade Compound in Zayed,Penthouse,390.0,4.0,2.0,8000000.0,"Promenade Residence Compound, 6th of October, Giza"
63,Penthouse resale Ready to Move Finished in Al Dyar,Penthouse,251.0,4.0,2.0,7700000.0,"Dyar Compound, New Cairo, Cairo"
64,Penthouse for sale in the Fifth Settlement Minutes from the American University Area: 218+53 4 rooms + 2 bathrooms - Natural gas - Fiber optic cable f,Penthouse,218.0,4.0,2.0,10670000.0,"5th Settlement, New Cairo, Cairo"
65,penthouse for sale in village west compound sheikh zayed city,Penthouse,213.0,4.0,2.0,14287000.0,"Village West Compound, Sheikh Zayed, Giza"
66,penthouse for sale in village west compound sheikh zayed city,Penthouse,213.0,4.0,2.0,14287000.0,"Village West Compound, Sheikh Zayed, Giza"
67,"Penthouse Redy to move , fully finished, in Al Marasem",Penthouse,165.0,4.0,2.0,22876000.0,"5th Settlement, New Cairo, Cairo"
68,Penthouse in Ain Sukhna，La Vista Topaz of Ain Sokhna 4 bedrooms 3000000 EGP - 501186642,Penthouse,190.0,4.0,2.0,3000000.0,"La Vista Topaz of Ain Sokhna, Ain Sukhna, Suez"
69,"Penthouse opportunity, 300 sqm, with extended installments available in Joya Compound, located in front of Nile University and next to Palm Hills",Penthouse,300.0,4.0,2.0,4564000.0,"Joya Compound, 6th of October, Giza"
70,"Penthouse Redy to move , fully finished, in Al Marasem",Penthouse,165.0,4.0,2.0,22876000.0,"Fifth Square Compound, New Cairo, Cairo"
71,Penthouse for sale in Mountain View Hyde Park,Penthouse,300.0,4.0,2.0,13800000.0,"Mountain View Hyde Park Compound, New Cairo, Cairo"
72,Pentahouse finshed in trio gardeninstallments of 9 y,Penthouse,290.0,4.0,2.0,24425160.0,"Trio Gardens Compound, New Cairo, Cairo"
73,"4BR with roof, Seaview, In Telal Soul,North Coast",Penthouse,161.0,4.0,2.0,16380000.0,"Telal North Coast, North Coast, Matruh"
74,شاليه بقرية امواج مع روف مميز يري البحر مكيف ومفروش بالكامل,Penthouse,300.0,4.0,2.0,7500000.0,"Amwaj, North Coast, Matruh"
75,"Townhouse (villa) with a spacious and multi-use roof, the largest area, at the best price in New Cairo!",Townhouse,221.0,5.0,3.0,33600000.0,"Sodic East, New Heliopolis, Cairo"
